Symbol,Count
SIC/LDA N,1
SIC/CAH ~,1
SIC/CXM ~,2
SIC/OGN ~,14
SIC/DXCM ~,4
SIC/FMC1 ~,1
SIC/IHE ~,3
SIC/CNK ~,4337
SIC/EWH ~,2
SIC/HTZ1 ~,2
SIC/EDEN ~,3
SIC/VWOB ~,1
SIC/MILN ~,2
SIC/MNSO N,14
SIC/FM ~,1
SIC/BNGO ~,10
SIC/TDOC ~,7199
SIC/CLOU ~,5
SIC/BNDW ~,1
SIC/TSN ~,7
SIC/CNYA N,202
SIC/UTSI ~,1
SIC/VRM ~,1778
SIC/SPHR ~,1
SIC/KGC N,2
SIC/CWEB ~,24807
SIC/VDTA N,30517
SIC/XLU ~,3233
SIC/PM ~,2
SIC/MA ~,5592
SIC/FIW ~,2
SIC/SRET1 ~,2
SIC/IQLT ~,1
SIC/FUTU N,11215
NAC/INVEX A,18
SIC/ILF ~,2
SIC/CTRA ~,1
SIC/BATS N,2
SIC/JBLU ~,8763
SIC/IBE N,8
SIC/HOOD ~,6892
SIC/TALO ~,8
NAC/PV ~,2
SIC/CVNA ~,8803
SIC/ANAM N,21553
SIC/HIMS ~,6
SIC/VIPS N,7085
SIC/STAG ~,2
SIC/CRUD N,15
SIC/PHO ~,1
SIC/APLE ~,2
SIC/DUST ~,2084
SIC/V3MA N,1
SIC/ANF ~,16
SIC/TIGR N,28415
SIC/FVRR N,5
SIC/TTWO ~,4
SIC/AIA ~,3572
SIC/MFC N,1
SIC/HLN1 N,4
SIC/GRWG ~,1
SIC/DRN ~,3
SIC/SAVA ~,5
SIC/AEM N,1
SIC/HSY ~,3
SIC/CHPT ~,2
SIC/IBLC ~,4326
SIC/USRT ~,1
SIC/CIND N,1
SIC/HCA ~,3
SIC/QDIV ~,1
SIC/EWG ~,6790
SIC/EWY ~,10
SIC/ESGV ~,2
SIC/ECH ~,12
SIC/EMGA N,1
SIC/IHG N,1
SIC/INO ~,21
SIC/TEL1 N,1
SIC/VAGU N,31011
SIC/QYLD ~,7
SIC/EWA ~,6158
SIC/MGV ~,2
SIC/BIV ~,2273
SIC/CEG ~,51
SIC/RIG N,6
SIC/CDE ~,4
SIC/VDEA N,33678
SIC/BLK ~,5326
SIC/VDST N,35696
SIC/RMBS ~,1
SIC/LQD ~,6453
SIC/MOMO N,3
SIC/UPST ~,24730
SIC/PI ~,1
SIC/APP ~,5
SIC/ASML1 N,11738
SIC/DSY N,1
SIC/RGLD ~,2
SIC/VFEA N,33638
SIC/JETS ~,2
SIC/OPEN1 ~,1
SIC/NSANY N,4
SIC/SMMT ~,1
SIC/XHB ~,6842
SIC/VRTX ~,64
SIC/QQQM ~,7
SIC/MRVL1 ~,14289
SIC/PGR ~,1144
SIC/HDB N,1
SIC/IEV ~,5
SIC/QLD ~,35160
SIC/SPYV ~,2
SIC/BRFS N,3577
SIC/AMSC ~,1
SIC/AMGOLD N,1
SIC/9766 N,2
SIC/TNK N,2
SIC/EXPI ~,2
SIC/IFRX N,1
SIC/IUCM N,1
SIC/IHI ~,6
SIC/FLIN ~,4
SIC/NRSH ~,2078
SIC/UWM ~,3
SIC/IAG N,2
SIC/VNRA N,43744
SIC/ASTS ~,1
SIC/DASH ~,1
SIC/FAZ ~,16422
SIC/VTIP ~,4178
SIC/VHT ~,3079
SIC/EZA ~,11725
SIC/XMOV N,1
SIC/EMHY ~,1
SIC/ANXU N,1
SIC/AQWA ~,2
SIC/IEZ ~,1
SIC/RKT ~,1
SIC/WOOF ~,7
SIC/WPC ~,1
SIC/IUES N,1
SIC/ITB ~,4243
SIC/SID N,2
SIC/PBF ~,4
SIC/AIZ ~,1
SIC/LAUR ~,1
SIC/ID27 N,34590
SIC/7270 N,1
SIC/STNG N,3
SIC/DHL N,1
SIC/QRVO ~,1
SIC/SDMXX N,20397
SIC/DM ~,1
SIC/HER N,2
SIC/ELPC N,1
SIC/NLOP ~,1
SIC/PSP ~,1
SIC/XLK ~,56452
SIC/HEE N,1
SIC/IBTMXX N,22775
SIC/EPHE ~,1
SIC/DXD ~,3
SIC/FDNI ~,2
NAC/RLH A,21
SIC/RTX ~,7679
SIC/USFR ~,5516
SIC/VTWO ~,3582
SIC/VGIT ~,2674
SIC/INTU ~,2258
SIC/IHYMXX N,17
SIC/NTES N,5075
SIC/SCI ~,3150
SIC/CNC ~,3796
